text,label,
online banking is not showing my cheque or cash deposit so the balance is incorrect,6,
this stupid system is not letting me prove my identity,68,
how old do i need to be,,
help me unblock my account i entered the pin wrong too many times,49,1
why do you need to know so much about me for my account,74,
i use this card all the time so why did it get declined at the store today,25,
tell me why there is a charge on my cash withdrawl,19,
do you offer a discount for those who perform frequent currency exchanges,31,
why is my payment declined it looked like everything worked ok and my account was fine,25,
i am seeing in the app a payment that its not mine,16,
has my top up gone through,47,
my latest payment was declined what happened i was told everything had been resolved and was back to working order again,25,
how do i link one of your card that i already have,13,
please help me with my card it wont activate,0,
why did my payment fail,25,
in a month my card will reach its expiration date am i required to request the next card,9,
help me cancel a transfer,8,
yikes i didnt get the amount of money that i requested what do i do now,75,
there is a top up that has been pending for an hour and i dont know why i was expecting it immediately and need it now,47,
can i withdraw from any atm,3,
i have a confusing payment appear on my statement and i dont recognise it,16,
i want to top up my account with a cheque,58,
i sent some money to somebody a couple of hours ago and they still have yet to receive it they really need the money how much longer are they going to have to wait,66,
where is the money that i transferred,5,
after going over my transactions for the last couple of months i noticed a pretty large charge that i know i did not make i know its been a while but can i still dispute this charge,28,
how do i check to see why my card payment was declined,25,
where can i see who sent me funds,70,
i want to reactivate my card i thought i had lost it but i found it,13,
what would cause a transfer failure,35,
if i top up by transfer am i going to be charged,56,
why is there an additional fee showing on the statement i received,34,
hello i tried to top up with my card but it didnt work i just got it a couple days before and it works fine whats the deal can you check into this,59,
i lost my card and need a new one will it cost me,39,
my card doesnt seem to work anymore,14,
i couldnt pay with card in a shop,25,
i bought something online and it says there was a fee to transfer money isnt that free,64,
can i use my card while on vacation overseas,10,
why cant i send money to a beneficiary,7,
is verifying my identify important,74,
are cards available to those outside of the uk,24,
i want to take some funds from my other bank account and add them to this one,65,
what do i do about my expired card,9,
suddenly my card wont work,14,
what happens with the duplicate charge in my account,63,
i got charged twice with a duplicate card how do i resolve this,63,
why and how soon do i have to have proof of identity to you,74,
i attemped a transfer and it didnt go through,35,
i see a direct debit charge that i did not approve,28,
how long are my top ups pending,47,
i am looking for my topup verification code and cannot find it,71,
can i get a card that works in other countries like africa and indonesia,24,
help me change my pin,21,
do topup limits exist,60,
tell me how to top up my account using bank transfer,65,
a payment shows up on the app that i never made,16,
im trying to purchase crypto via the app i havent been able to get it to go through am i doing something wrong,7,
while abroad i got cash and the exchange rate applied is wrong,76,
